FinalName,Family
Taraxacum officinale,Asteraceae
Cirsium arvense,Asteraceae
Tragopogon dubius,Asteraceae
Carduus nutans,Asteraceae
Lactuca serriola,Asteraceae
Cirsium vulgare,Asteraceae
Sisymbrium altissimum,Brassicaceae
Thlaspi arvense,Brassicaceae
Chenopodium album,Chenopodiaceae
Juncus compressus,Juncaceae
Nepeta cataria,Lamiaceae
Poa pratensis,Poaceae
Poa compressa,Poaceae
Bromus tectorum,Poaceae
Bromus inermis,Poaceae
Agrostis gigantea,Poaceae
Phleum pratense,Poaceae
Verbascum thapsus,Scrophulariaceae
Linaria vulgaris,Scrophulariaceae
Linaria dalmatica,Scrophulariaceae
