Species,chao,chao.se,jack1,jack1.se,jack2,boot,boot.se,n,PlotTreatmentStatus,phase,spp
132,177.09803921568627,19.186416990145315,170.33333333333334,10.738689139948342,192.09420289855072,149.22796255854175,6.9152263397644775,24,Treatment,0pre,total
123,161.35855263157896,16.331262994959502,160.375,10.873563123466015,179.46557971014494,139.9725269843866,6.433944825071221,24,Treatment,post_01,total
160,210.1818181818182,19.351934538908424,206,15.478479684172259,230.71014492753622,180.86489515025391,9.266005892056556,24,Treatment,post_05,total
181,255.54464285714286,24.693876554528043,244.25,21.02453923395231,280.1992753623189,209.0139824534245,12.033104839770349,24,Treatment,post_10,total
6,6.956521739130435,1.8010708849746069,7.913043478260869,1.3527260161829606,7.99604743083004,7.018783620287743,0.9023497153078714,23,Treatment,0pre,exotic
5,9.304347826086957,6.894561018992615,7.869565217391305,1.6567442507180565,9.737154150197629,6.242772986761395,1.1057546732839645,23,Treatment,post_01,exotic
6,6,0,6,0,5.128458498023715,6.247717759435136,0.5627983236604502,23,Treatment,post_05,exotic
9,9.63768115942029,1.2595639861764474,10.91304347826087,1.3527260161829606,10.124505928853756,10.13174531299114,1.0159777112465114,23,Treatment,post_10,exotic
134,184.24728260869566,21.31589873103524,173.2173913043478,10.588719610357405,196.70750988142294,151.3897988489944,5.8155373370703725,23,Treatment,0pre,native
127,158.62759924385634,13.330960601306499,164.30434782608694,13.24139696454943,179.8675889328063,144.30579916972857,7.5423504018593,23,Treatment,post_01,native
130,157.41189931350115,12.571403289773572,161.56521739130434,8.940466826175426,175.13636363636365,144.94944525373154,5.292949852683982,23,Treatment,post_05,native
144,180.54347826086956,15.084100748046353,183.2173913043478,11.704296143047594,201.47826086956525,162.16709719894035,6.865783342004025,23,Treatment,post_10,native
145,198.26315789473685,21.19598011001206,189,12.13690025608215,214.4407114624506,164.65135545604352,6.679682757089226,23,Control,0pre,total
135,169.01170568561872,13.642316739534664,176.1304347826087,14.996912095520068,192.7312252964427,154.15509951269297,8.582989265721306,23,Control,post_01,total
138,162.80124223602485,11.34237925178032,169.56521739130434,8.940466826175426,181.3932806324111,153.32151599433683,5.538940198615594,23,Control,post_05,total
157,192.61204013377926,14.130892529231232,199.08695652173913,12.604197098548358,216.60079051383397,176.7819842048436,7.537743423370497,23,Control,post_10,total
6,6.956521739130435,1.8010708849746069,7.913043478260869,1.3527260161829606,7.99604743083004,7.018783620287743,0.9023497153078714,23,Control,0pre,exotic
5,9.304347826086957,6.894561018992615,7.869565217391305,1.6567442507180565,9.737154150197629,6.242772986761395,1.1057546732839645,23,Control,post_01,exotic
6,6,0,6,0,5.128458498023715,6.247717759435136,0.5627983236604502,23,Control,post_05,exotic
9,9.63768115942029,1.2595639861764474,10.91304347826087,1.3527260161829606,10.124505928853756,10.13174531299114,1.0159777112465114,23,Control,post_10,exotic
134,184.24728260869566,21.31589873103524,173.2173913043478,10.588719610357405,196.70750988142294,151.3897988489944,5.8155373370703725,23,Control,0pre,native
127,158.62759924385634,13.330960601306499,164.30434782608694,13.24139696454943,179.8675889328063,144.30579916972857,7.5423504018593,23,Control,post_01,native
130,157.41189931350115,12.571403289773572,161.56521739130434,8.940466826175426,175.13636363636365,144.94944525373154,5.292949852683982,23,Control,post_05,native
144,180.54347826086956,15.084100748046353,183.2173913043478,11.704296143047594,201.47826086956525,162.16709719894035,6.865783342004025,23,Control,post_10,native
